Panel,L1,L2,L1s,Edges,rho_EN,rho_Ada,rho_GMM,BIC
Environment (14001) eu,0.2,0.05,0.05,48,0.950,0.000,0.000,17.31
Environment (14001) eu,0.05,0.1,0.05,33,0.950,0.293,0.283,14.94
Environment (14001) eu,0.1,0.1,0.05,40,0.950,0.217,0.228,16.03
Environment (14001) eu,0.15,0.1,0.05,42,0.950,0.242,0.246,16.42
Environment (14001) eu,0.2,0.1,0.05,47,0.000,0.000,0.000,17.23
Environment (14001) eu,0.05,0.15,0.05,31,0.950,0.277,0.276,14.62
Environment (14001) eu,0.1,0.15,0.05,40,0.950,0.185,0.194,16.04
Environment (14001) eu,0.15,0.15,0.05,44,0.950,0.284,0.284,16.67
Environment (14001) eu,0.2,0.15,0.05,45,0.942,0.302,0.284,16.85
Environment (14001) eu,0.05,0.2,0.05,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.1,0.2,0.05,42,0.950,0.232,0.228,16.38
Environment (14001) eu,0.15,0.2,0.05,44,0.950,0.289,0.286,16.68
Environment (14001) eu,0.2,0.2,0.05,44,0.775,0.439,0.314,16.69
Environment (14001) eu,0.05,0.05,0.1,30,0.950,0.285,0.286,14.57
Environment (14001) eu,0.1,0.05,0.1,36,0.554,0.385,0.219,15.66
Environment (14001) eu,0.15,0.05,0.1,38,0.950,0.000,0.000,15.85
Environment (14001) eu,0.2,0.05,0.1,46,0.950,0.000,0.000,17.07
Environment (14001) eu,0.05,0.1,0.1,31,0.950,0.276,0.277,14.62
Environment (14001) eu,0.1,0.1,0.1,38,0.950,0.239,0.236,15.71
Environment (14001) eu,0.15,0.1,0.1,43,0.950,0.241,0.242,16.62
Environment (14001) eu,0.2,0.1,0.1,47,0.000,0.000,0.000,17.26
Environment (14001) eu,0.05,0.15,0.1,33,0.950,0.359,0.288,14.98
Environment (14001) eu,0.1,0.15,0.1,38,0.950,0.227,0.206,15.74
Environment (14001) eu,0.15,0.15,0.1,42,0.950,0.288,0.268,16.40
Environment (14001) eu,0.2,0.15,0.1,43,0.942,0.307,0.253,16.59
Environment (14001) eu,0.05,0.2,0.1,32,0.950,0.391,0.254,14.98
Environment (14001) eu,0.1,0.2,0.1,40,0.950,0.313,0.239,16.10
Environment (14001) eu,0.15,0.2,0.1,41,0.950,0.279,0.269,16.23
Environment (14001) eu,0.2,0.2,0.1,40,0.775,0.255,0.238,16.06
Environment (14001) eu,0.05,0.05,0.15,30,0.950,0.285,0.287,14.57
Environment (14001) eu,0.1,0.05,0.15,33,0.554,0.454,0.212,15.28
Environment (14001) eu,0.15,0.05,0.15,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.2,0.05,0.15,44,0.950,0.000,0.000,16.77
Environment (14001) eu,0.05,0.1,0.15,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.1,0.1,0.15,38,0.950,0.235,0.229,15.72
Environment (14001) eu,0.15,0.1,0.15,41,0.950,0.238,0.236,16.31
Environment (14001) eu,0.2,0.1,0.15,44,0.000,0.000,0.000,16.87
Environment (14001) eu,0.05,0.15,0.15,33,0.950,0.384,0.265,15.04
Environment (14001) eu,0.1,0.15,0.15,39,0.950,0.252,0.204,15.91
Environment (14001) eu,0.15,0.15,0.15,41,0.950,0.304,0.256,16.28
Environment (14001) eu,0.2,0.15,0.15,45,0.942,0.298,0.236,16.99
Environment (14001) eu,0.05,0.2,0.15,32,0.950,0.429,0.244,15.06
Environment (14001) eu,0.1,0.2,0.15,41,0.950,0.328,0.250,16.28
Environment (14001) eu,0.15,0.2,0.15,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.2,0.2,0.15,40,0.775,0.267,0.231,16.07
Environment (14001) eu,0.05,0.05,0.2,30,0.950,0.285,0.288,14.57
Environment (14001) eu,0.1,0.05,0.2,35,0.554,0.513,0.191,15.71
Environment (14001) eu,0.15,0.05,0.2,38,0.950,0.000,0.000,15.86
Environment (14001) eu,0.2,0.05,0.2,40,0.950,0.000,0.000,16.18
Environment (14001) eu,0.05,0.1,0.2,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.1,0.1,0.2,38,0.950,0.261,0.235,15.73
Environment (14001) eu,0.15,0.1,0.2,40,0.950,0.220,0.223,16.15
Environment (14001) eu,0.2,0.1,0.2,44,0.000,0.000,0.000,16.87
Environment (14001) eu,0.05,0.15,0.2,33,0.950,0.424,0.238,15.11
Environment (14001) eu,0.1,0.15,0.2,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.15,0.15,0.2,42,0.950,0.276,0.237,16.50
Environment (14001) eu,0.2,0.15,0.2,FAIL,FAIL,FAIL,FAIL,FAIL
Environment (14001) eu,0.05,0.2,0.2,32,0.950,0.429,0.238,15.12
Environment (14001) eu,0.1,0.2,0.2,40,0.950,0.359,0.255,16.16
Environment (14001) eu,0.15,0.2,0.2,42,0.950,0.322,0.272,16.44
Environment (14001) eu,0.2,0.2,0.2,FAIL,FAIL,FAIL,FAIL,FAIL
