panel,lambda1,lambda2,lambda1s,bic,edges,clustering,reciprocity,out_mean,out_sd,in_mean,in_sd
9001_eu,0.1,0.15,0.2,13.958062210639373,28,0.16363636363636364,0.07142857142857142,1.037037037037037,0.3375797890278889,1.037037037037037,1.3722940221362487
14001_eu,0.05,0.05,0.1,14.570634542539374,30,0.05263157894736842,0,1.1111111111111112,0.6979824404521128,1.1111111111111112,1.219499687240422
