"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
2.74530871754496e-14,0.999999999947348,0,0,1.87528181191242e-14,0,2.98275785315149e-14,0,3.56524018320445e-11,2.66948173687596e-14,2.31549511738172e-14,1.6881771852765e-11,0,2.66328282208755e-14,2.32073367989438e-14,0,0,0,0,3.01230792989943e-14,0,2.70131991124633e-14,0,0,2.63169918929268e-14,1.97591229700216e-14,2.40804530584792e-14
0.999999999914123,3.85601456087415e-11,0,0,1.58071432894236e-14,0,3.53940778846626e-14,0,3.35990638776076e-14,3.03056094212825e-14,2.29493737264259e-14,2.87566233988419e-13,0,7.23994964967861e-13,4.30116723591194e-11,0,0,3.71331802664479e-14,0,3.61717284599119e-14,0,3.2034284563687e-14,0,0,3.62347597169481e-12,1.57567853562313e-14,2.50209374375429e-14
2.40615004261286e-14,2.50333525952309e-14,0,0,2.47205370741913e-14,0,1.78693073064626e-12,0,0.999999999988065,9.60388058355918e-12,2.50339390615212e-14,2.4359837529701e-14,0,2.72882002538098e-14,2.51780906443291e-14,0,0,1.75926739828779e-13,0,0,0,2.43532984362031e-14,0,0,2.46910613502619e-14,2.56881401348922e-14,2.46375822909533e-14
0,0,0.999999999999619,0,0,3.05474549280491e-14,0,3.08227590826379e-14,0,0,0,0,0,0,0,3.11658520299998e-14,2.56517912644812e-14,0,0,0,0,0,2.43388369067239e-14,2.41345311880698e-14,0,0,0
0,0,2.24734724247537e-14,0,0,2.33799135845745e-14,0,0.999999999977855,0,0,0,0,0,0,0,2.38816072860603e-14,1.96257419273445e-11,0,2.34086854297702e-14,0,2.61241214608785e-12,0,2.23329011497456e-14,2.28173822451955e-14,0,0,0
0,0,1.0212805775652e-11,0,0,1.94892067328592e-14,0,1.20634126271941e-13,0,0,0,0,1.73806825293377e-14,0,0,5.05635579196213e-14,0.999999999967156,0,2.67577824926578e-14,0,2.06433741975085e-14,0,0,2.26398486236756e-11,0,0,0
2.40330110403657e-14,3.4377673916718e-11,0,0,1.85851502173557e-14,0,2.28548164025873e-14,0,0.999999999964909,2.44856010078495e-14,2.37059506956749e-14,2.02381363642893e-14,0,2.52351636094172e-14,2.55265443610375e-14,0,0,2.45472688434551e-14,0,2.24812470147574e-14,0,2.20900382657494e-14,0,0,0,2.42034676454882e-14,2.31702638123095e-14
0,2.61498934723883e-14,0,0,2.63946008668784e-14,0,3.30261610215602e-14,0,3.11140423086307e-14,2.97987968746516e-14,0,3.16558705337443e-14,0,0,2.57044093171873e-14,0,0,3.28186166794999e-14,0,3.27456481516092e-14,0,3.10258737971536e-14,0,0,0,0.999999999999342,0
0,0,4.35939951728493e-13,0,0,1.89948065762259e-14,0,2.00506021849439e-12,0,0,0,0,2.07920149470319e-14,0,0,2.16850677965374e-14,2.64703936241896e-14,0,1.89838868567618e-14,0,0.999999999997973,0,2.98197847888119e-14,2.31163196672835e-14,0,0,0
2.27363001075755e-14,2.78895039009471e-14,0,0,4.33556504994666e-12,0,2.66864855991764e-13,0,2.1882928627886e-14,2.35632198220259e-14,0.676346149268327,0.323653850726989,0,0,2.76007504181893e-14,0,0,2.0985753673445e-14,0,2.08485074119797e-14,0,2.29879830477287e-14,0,0,0,3.03141862681794e-14,0
