"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
0,5.35446382863577e-13,0,0,1.89255169412722e-14,0,1.99006501072644e-14,0,2.18737265508275e-11,2.04628441366735e-14,1.98690745742869e-14,1.94699782945949e-14,0,8.62432345962779e-11,2.08917079854285e-14,0,0,2.11782303070173e-14,0,6.35376101853037e-14,0,1.99251175424369e-14,0,0,0,2.01505821227085e-14,0.999999999892138
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1.08445467306641e-10,0,1.87184572064464e-14,0,0,0,0,0,0,0,1.90881374453061e-14,2.38561440012751e-14,0,1.82227672524324e-14,0,0.999999999891849,0,2.62212206049426e-14,2.13120373750964e-14,0,0,0
0,0,2.42502035590353e-12,0,0,2.31235637701164e-14,0,7.70311615801858e-11,0,0,0,0,0,0,0,2.2760102463025e-14,2.35441708738684e-14,0,2.59987259333286e-14,0,2.33180773128674e-14,0,2.37005665957348e-14,0.999999999920525,0,0,0
0,0,1.77178659828687e-14,0,0,0,0,2.39088126871236e-14,0,0,0,0,0,0,0,0.999999999999817,1.93747766483519e-14,0,0,0,0,0,1.91832978275163e-14,1.89598232375447e-14,0,0,0
0,0,2.13983011632742e-14,0,0,0,0,2.69076220745661e-14,0,0,0,0,0,0,0,3.07214303020707e-14,0.999999999957078,0,2.37659858104924e-14,0,3.66263190514046e-11,0,5.80510760414883e-12,2.5116801679592e-14,0,0,0
2.40729892202077e-14,1.99972936816599e-14,0,0,2.26346818737801e-14,0,0,0,2.46233692386964e-14,2.33112545993107e-14,7.76483974406107e-12,2.54177115010454e-14,0,2.21234040217951e-14,2.01669061342012e-14,0,0,2.43800800598301e-14,0,1.32435830448871e-11,0,2.45980374924839e-14,0,0,0.999999999979195,1.94151080927859e-14,2.3400918851846e-14
0.999999999996857,2.3842802820262e-14,0,0,2.15217265276749e-14,0,2.89360490227497e-12,0,2.30144960510162e-14,2.33583095547828e-14,2.29253983763398e-14,2.18390959097057e-14,0,2.26619504358135e-14,2.32643110331132e-14,0,0,2.44506347015642e-14,0,2.3038024534121e-14,0,2.26536245829582e-14,0,0,0,2.27560078759405e-14,2.32023312634757e-14
2.17591095272165e-12,2.42119420488662e-14,0,0,2.13292040733606e-14,0,2.58980128889859e-14,0,0,0.999999999992322,2.81585051297633e-12,2.46950228286705e-14,0,2.54922876646904e-14,2.43060130500838e-14,0,0,1.40497686411785e-12,0,1.41418285374368e-12,0,2.48034615578534e-14,0,0,2.40780393984846e-14,2.31562592774031e-14,2.42509728378749e-14
0,0,1.83312775765466e-14,0,0,2.41131253586448e-14,0,0.999999999999132,0,0,0,0,0,0,0,2.17762498829867e-14,3.3365969020222e-13,0,2.76946318846308e-14,0,2.16542849720509e-14,0,1.71853008680041e-14,2.26327138146196e-14,0,0,0
2.15743458658038e-14,2.43680850024067e-14,0,0,2.7477478504689e-14,0,2.10971505222843e-14,0,2.27519679045394e-14,2.2900024702766e-14,0,7.13159061003428e-11,0,0,2.55393299689726e-14,0,0,2.1740158714768e-14,0,2.23674965841732e-14,0,0.999999999885241,0,0,2.42527572783359e-14,4.28850524467284e-11,2.36958411549586e-14
0.999999997971849,2.65296080959925e-14,0,0,2.95592530303763e-14,0,2.01107539144429e-09,0,2.47687432731084e-14,2.497635217923e-14,2.64166564668972e-14,0,0,0,2.67653358988653e-14,0,0,2.44335032794141e-14,0,1.66093214997297e-11,0,2.58858128339224e-14,0,0,0,2.82617253232689e-14,2.58575033126709e-14
0,0,0,0,1.26171508338708e-13,0,2.17319031400842e-14,0,2.34136671597125e-14,0,0,0.999999999999341,0,0,2.95925513527512e-14,0,0,0,0,0,0,2.41280198550383e-14,0,0,0,3.24193153834578e-14,0
3.61212338159559e-11,2.05185399489799e-14,0,0,2.49225838690289e-14,0,2.8632185216572e-14,0,2.72491543208088e-14,2.52582541551216e-14,9.41383751236939e-13,2.88141548793197e-14,0,0,2.13429419425187e-14,0,0,2.61067684594722e-14,0,2.86810509768031e-14,0,2.67899876556866e-14,0,0,0.999999999925255,2.05770872271287e-14,3.79310944490075e-11
0,0,1.66487444758803e-11,0,0,2.55517298944247e-14,0,1.39008008388595e-11,0,0,0,0,2.64782577038109e-14,0,0,2.532544408386e-14,0.999999999968599,0,5.01506211620728e-13,0,2.63244926225708e-14,0,1.37786202218643e-13,2.00193115134504e-13,0,0,0
2.52872856775243e-14,3.10072052266018e-12,0,0,1.95588489462272e-14,0,6.80286142641215e-14,0,2.40716264506564e-14,2.40081286538681e-14,2.07665634317398e-14,2.18066768365893e-14,0,2.32176165643823e-14,2.0125810288028e-14,0,0,2.40139632082577e-14,0,2.4777611143289e-14,0,2.34690016173874e-14,0,0,0,1.6979635931914e-14,0.999999999996896
0,0,1.24650458003084e-14,0,0,0,0,2.87688712465378e-14,0,0,0,0,0,0,0,6.94186895738819e-13,0,0,0,0,0.999999999998576,0,1.44945960391461e-14,2.32935146467153e-14,0,0,0
