panel,lambda1,lambda2,lambda1s,bic,edges,clustering,reciprocity,out_mean,out_sd,in_mean,in_sd
9001_eu,0.15,0.25,0.25,14.145924784762313,29,0,0,1.0740740740740742,0.47441672090180914,1.0740740740740742,1.0715167512214394
14001_eu,0.05,0.05,0.25,14.265028626941403,27,0.07692307692307693,0.07407407407407407,1,0.2773500981126146,1,1.0377490433255416
